t;P_W
392.48439741087026;1.292
393.48055070379127;1.289
394.4767039967122;1.294
395.4728572896332;1.294
396.46901058255423;0.29
397.4651638754752;1.289
398.4613171683962;1.289
399.4574704613172;2.0
400.45362375423815;0.51
401.44977704715916;0.289
402.44593034008017;0.287
403.4420836330011;1.288
404.4382369259221;1.22
405.43439021884313;1.239
406.43054351176414;1.293
407.4266968046851;2.2
408.4228500976061;1.29
409.4190033905271;0.29
410.41515668344806;1.294
411.41130997636907;1.295
412.4074632692901;1.294
413.403616562211;0.236
414.39976985513204;0.237
415.39592314805304;0.2
416.392076440974;1.233
417.388229733895;1.295
418.384383026816;1.23
419.380536319737;1.294
420.37668961265797;1.235
421.372842905579;1.297
422.3689961985;1.294
423.36514949142094;1.233
424.36130278434194;1.292
425.35745607726295;1.296
426.3536093701839;1.295
427.3497626631049;1.2
428.3459159560259;1.233
429.34206924894687;0.233
430.3382225418679;0.295
431.3343758347889;1.294
432.3305291277099;1.233
433.32668242063085;0.297
434.32283571355185;0.295
435.31898900647286;1.233
436.3151422993938;0.29
437.3112955923148;13.48
438.30744888523583;12.33
439.3036021781568;12.94
440.2997554710778;12.93
441.2959087639988;12.95
442.2920620569198;13.8
443.28821534984075;12.94
444.28436864276176;2.95
445.28052193568277;1.297
446.2766752286037;0.295
447.27282852152473;1.239
448.26898181444574;1.294
449.2651351073667;1.237
450.2612884002877;0.25
451.2574416932087;0.12
452.25359498612966;12.2
453.24974827905066;2.91
454.2459015719717;1.235
455.2420548648927;0.296
456.23820815781363;1.29
457.23436145073464;1.233
458.23051474365565;1.232
459.2266680365766;1.233
460.2228213294976;1.295
461.2189746224186;1.295
462.21512791533956;1.233
463.2112812082606;13.48
464.2074345011816;2.98
465.20358779410253;1.295
466.19974108702354;1.235
467.19589437994455;1.297
468.19204767286556;1.233
469.1882009657865;12.985
470.1843542587075;12.95
471.1805075516285;12.37
472.1766608445495;12.99
473.1728141374705;12.39
474.1689674303915;12.95
475.16512072331244;12.35
476.16127401623345;13.4
477.15742730915446;13.41
478.1535806020754;2.95
479.1497338949964;2.95
480.1458871879174;2.97
481.14204048083843;1.233
482.1381937737594;1.298
483.1343470666804;0.297
484.1305003596014;1.299
485.12665365252235;13.48
486.12280694544336;13.01
487.11896023836437;13.84
488.1151135312853;13.82
489.1112668242063;13.483
490.10742011712733;13.331
491.1035734100483;13.4
492.0997267029693;12.37
493.0958799958903;13.01
494.0920332888113;13.485
495.08818658173226;13.82
496.08433987465327;13.485
497.0804931675743;3.45
498.0766464604952;13.406
499.07279975341623;3.45
500.06895304633724;1.304
501.0651063392582;0.346
502.0612596321792;13.484
503.0574129251002;13.41
504.05356621802116;13.485
505.04971951094217;13.47
506.0458728038632;13.482
507.0420260967842;13.331
508.03817938970514;13.485
509.03433268262614;13.485
510.03048597554715;13.404
511.0266392684681;13.48
512.0227925613891;13.331
513.0189458543101;13.488
514.0150991472311;13.403
515.0112524401521;13.331
516.007405733073;13.04
517.003559025994;13.47
517.999712318915;13.08
518.995865611836;13.485
519.9920189047571;3.485
520.9881721976781;1.388
521.984325490599;13.488
522.98047878352;13.84
523.976632076441;13.486
524.972785369362;13.486
525.968938662283;13.0
526.965091955204;3.331
527.961245248125;13.487
528.9573985410459;13.0
529.9535518339669;13.489
530.9497051268879;13.485
531.9458584198089;13.486
532.9420117127299;13.487
533.938165005651;13.47
534.9343182985718;13.487
535.9304715914928;13.47
536.9266248844139;13.0
537.9227781773349;13.489
538.9189314702559;13.489
539.9150847631769;13.408
540.9112380560979;13.488
541.9073913490188;13.0
542.9035446419398;13.485
543.8996979348608;13.487
544.8958512277818;13.343499999999999
545.8920045207028;13.2
546.8881578136238;13.0
547.8843111065447;3.0
548.8804643994657;1.32
549.8766176923867;1.34
550.8727709853077;1.3
551.8689242782287;1.3
552.8650775711498;1.39
553.8612308640708;1.309
554.8573841569917;1.301
555.8535374499127;13.131
556.8496907428337;13.131
557.8458440357547;13.431
558.8419973286757;13.09
559.8381506215967;13.131
560.8343039145176;13.4
561.8304572074386;13.4
562.8266105003596;3.6
563.8227637932806;1.35
564.8189170862016;1.33
565.8150703791226;1.335
566.8112236720436;1.34
567.8073769649645;0.37
568.8035302578855;13.431
569.7996835508065;13.2
570.7958368437276;3.5
571.7919901366486;1.32
572.7881434295696;1.32
573.7842967224905;1.0
574.7804500154115;1.32
575.7766033083325;13.431
576.7727566012535;13.0
577.7689098941745;13.2
578.7650631870955;3.2
579.7612164800165;1.32
580.7573697729374;1.3
581.7535230658584;0.32
582.7496763587794;0.139
583.7458296517004;0.039
584.7419829446214;0.13
585.7381362375424;15.1411
586.7342895304633;13.5
587.7304428233844;13.4
588.7265961163054;13.3
589.7227494092264;13.3
590.7189027021474;13.19
591.7150559950684;13.14
592.7112092879894;13.3
593.7073625809103;1.0
594.7035158738313;1.32
595.6996691667523;1.35
596.6958224596733;1.35
597.6919757525943;0.371
598.6881290455153;1.32
599.6842823384362;13.111
600.6804356313572;13.151
601.6765889242782;13.7
602.6727422171992;13.9
603.6688955101203;13.5
604.6650488030413;13.4
605.6612020959623;13.7
606.6573553888832;13.9
607.6535086818042;13.5
608.6496619747252;13.7
609.6458152676462;13.2
610.6419685605672;13.0
611.6381218534882;13.3
612.6342751464091;13.7
613.6304284393301;13.2
614.6265817322511;3.56
615.6227350251721;3.7
616.6188883180931;1.32
617.6150416110141;1.321
618.6111949039351;1.37
619.607348196856;0.39
620.603501489777;0.139
621.599654782698;0.13
622.5958080756191;3.451
623.5919613685401;3.7
624.5881146614611;1.322
