"Time (s) Run #1";"Temperature 1, Ch 2 (°C) Run #1";"Temperature 2, Ch 2 (°C) Run #1";"Temperature 3, Ch 2 (°C) Run #1";"Temperature 1, Ch 1 (°C) Run #1";"Temperature 2, Ch 1 (°C) Run #1";"Temperature 3, Ch 1 (°C) Run #1";"Time (s) Run #2";"Temperature 1, Ch 1 (°C) Run #2";"Temperature 2, Ch 1 (°C) Run #2";"Temperature 3, Ch 1 (°C) Run #2";"Force Beam 1 (N) Run #2";"Force Beam 2 (N) Run #2";"Force Beam 3 (N) Run #2";"Force Beam 4 (N) Run #2";"Normal Force (N) Run #2";"Parallel Force (N) Run #2";"Time (s) Run #3";"Temperature 1, Ch 1 (°C) Run #3";"Temperature 2, Ch 1 (°C) Run #3";"Temperature 3, Ch 1 (°C) Run #3";"Force Beam 1 (N) Run #3";"Force Beam 2 (N) Run #3";"Force Beam 3 (N) Run #3";"Force Beam 4 (N) Run #3";"Normal Force (N) Run #3";"Parallel Force (N) Run #3";"Time (s) Run #4";"Temperature 1, Ch 1 (°C) Run #4";"Temperature 2, Ch 1 (°C) Run #4";"Temperature 3, Ch 1 (°C) Run #4";"Force Beam 1 (N) Run #4";"Force Beam 2 (N) Run #4";"Force Beam 3 (N) Run #4";"Force Beam 4 (N) Run #4";"Normal Force (N) Run #4";"Parallel Force (N) Run #4";"Time (s) Run #5";"Temperature 1, Ch 2 (°C) Run #5";"Temperature 2, Ch 2 (°C) Run #5";"Temperature 3, Ch 2 (°C) Run #5";"Temperature 1, Ch 1 (°C) Run #5";"Temperature 2, Ch 1 (°C) Run #5";"Temperature 3, Ch 1 (°C) Run #5";"Time (s) Run #6";"Temperature 1, Ch 2 (°C) Run #6";"Temperature 2, Ch 2 (°C) Run #6";"Temperature 3, Ch 2 (°C) Run #6";"Temperature 1, Ch 1 (°C) Run #6";"Temperature 2, Ch 1 (°C) Run #6";"Temperature 3, Ch 1 (°C) Run #6"
1,850;19,15;20,35;21,91;18,29;20,01;20,44;1,850;19,87;20,20;20,24;-28,34;29,50;-26,87;29,57;3,86;-0,02;1,850;17,16;20,07;21,06;-28,39;29,80;-27,14;29,36;3,62;-0,06;1,850;12,91;17,76;20,75;-27,97;29,28;-26,90;29,78;4,19;-0,02;;;;;;;;1,850;11,89;18,06;20,22;13,09;19,63;20,37
1,900;19,15;20,35;21,91;18,29;20,01;20,43;1,900;19,87;20,20;20,24;-28,26;29,61;-26,87;29,46;3,94;-0,02;1,900;17,16;20,07;21,06;-28,42;29,69;-27,06;29,46;3,67;-0,02;1,900;12,92;17,76;20,75;-28,16;29,28;-26,93;29,76;3,95;-0,02;;;;;;;;1,900;11,93;18,06;20,23;13,08;19,63;20,37
1,950;19,15;20,35;21,91;18,28;20,01;20,43;1,950;19,87;20,20;20,24;-28,42;29,64;-27,03;29,62;3,80;0,02;1,950;17,16;20,07;21,06;-28,45;29,86;-27,03;29,36;3,73;-0,06;1,950;12,91;17,75;20,75;-28,23;29,28;-27,03;29,70;3,71;0,02;;;;;;;;1,950;11,94;18,06;20,23;13,09;19,63;20,37
2,000;19,15;20,35;21,91;18,29;20,01;20,43;2,000;19,87;20,20;20,24;-28,45;29,61;-26,90;29,52;3,78;0,06;2,000;17,16;20,07;21,06;-28,34;29,75;-27,09;29,36;3,67;0,10;2,000;12,91;17,75;20,75;-28,16;29,28;-27,06;29,68;3,74;-0,02;;;;;;;;2,000;11,93;18,06;20,23;13,09;19,63;20,37
2,050;19,15;20,35;21,91;18,29;20,01;20,43;2,050;19,87;20,20;20,24;-28,45;29,69;-27,01;29,46;3,70;0,15;2,050;17,16;20,06;21,06;-28,42;29,77;-27,17;29,52;3,70;0,06;2,050;12,91;17,75;20,74;-28,31;29,03;-26,93;29,70;3,49;-0,02;;;;;;;;2,050;11,93;18,06;20,23;13,09;19,63;20,37
2,100;19,15;20,36;21,92;18,28;20,01;20,43;2,100;19,87;20,20;20,24;-28,37;29,53;-27,01;29,73;3,88;-0,10;2,100;17,16;20,06;21,06;-28,39;29,88;-27,03;29,52;3,97;-0,06;2,100;12,91;17,75;20,74;-28,21;29,25;-26,98;29,65;3,71;-0,06;;;;;;;;2,100;11,93;18,07;20,23;13,09;19,63;20,37
2,150;19,15;20,36;21,92;18,29;20,01;20,43;2,150;19,87;20,20;20,24;-28,39;29,61;-26,98;29,52;3,75;0,06;2,150;17,16;20,06;21,06;-28,34;29,80;-27,09;29,49;3,86;-0,15;2,150;12,91;17,75;20,74;-28,21;29,39;-27,01;29,76;3,93;-0,02;;;;;;;;2,150;11,93;18,07;20,23;13,09;19,63;20,37
2,200;19,15;20,36;21,91;18,29;20,01;20,44;2,200;19,87;20,20;20,24;-28,37;29,61;-26,93;29,46;3,78;0,10;2,200;17,16;20,06;21,06;-28,31;29,88;-27,03;29,44;3,97;0,02;2,200;12,91;17,75;20,74;-28,16;29,28;-27,03;29,68;3,76;-0,02;;;;;;;;2,200;11,94;18,08;20,23;13,08;19,63;20,37
2,250;19,15;20,37;21,92;18,29;20,01;20,43;2,250;19,87;20,20;20,25;-28,31;29,61;-26,84;29,52;3,97;-0,02;2,250;17,16;20,06;21,06;-28,50;29,86;-27,20;29,38;3,54;-0,06;2,250;12,91;17,75;20,74;-28,23;29,33;-26,95;29,78;3,93;-0,06;;;;;;;;2,250;11,93;18,08;20,23;13,09;19,63;20,37
2,300;19,15;20,37;21,91;18,29;20,01;20,44;2,300;19,87;20,20;20,24;-28,39;29,47;-26,98;29,54;3,64;-0,02;2,300;17,16;20,06;21,06;-28,39;29,80;-27,14;29,38;3,65;-0,06;2,300;12,91;17,75;20,74;-28,29;29,42;-26,98;29,81;3,96;-0,02;;;;;;;;2,300;11,94;18,09;20,23;13,08;19,63;20,37
